iter	RMSE
0	706.0379522
1	702.9578585
2	700.3065529
3	700.3065529
4	697.8765875
5	697.8765875
6	697.8765875
7	695.0510156
8	692.6703909
9	690.1480784
10	690.1480784
11	689.2618652
12	686.9336111
13	684.8107602
14	682.478653
15	681.5967973
16	681.5967972
17	679.7750038
18	677.8582656
19	675.8309909
20	675.8309909
21	675.0717678
22	674.400482
23	672.7027199
24	671.770286
25	670.12253
26	668.4400189
27	667.7558735
28	665.9789399
29	665.9789397
30	664.2940146
31	663.7370862
32	662.3355226
33	662.3355224
34	661.6846415
35	660.1460487
36	659.078607
37	658.9720971
38	658.9720969
39	657.7369707
40	656.2999043
41	654.9045331
42	654.904533
43	653.5614131
44	652.5969153
45	651.1547637
46	650.0390708
47	649.6647376
48	649.2495976
49	649.1505404
50	648.275745
51	647.2979905
52	646.2942028
53	645.3314905
54	644.4391368
55	643.7599533
56	643.7599531
57	642.8218944
58	641.9594003
59	641.1754975
60	640.2548191
61	639.3573909
62	638.5983296
63	638.5983293
64	638.0412106
65	638.0412103
66	637.7164502
67	636.9514353
68	636.951435
69	636.3550714
70	636.3550712
71	636.355071
72	636.3550707
73	635.7781763
74	635.2291494
75	634.4907179
76	633.9101996
77	633.9101993
78	633.3225159
79	632.8484935
80	632.8484409
81	632.3812077
82	632.3686757
83	632.3686754
84	632.3686752
85	631.9491098
86	631.9491096
87	631.30677
88	630.7702219
89	630.7702217
90	630.1653098
91	630.1653096
92	630.1653094
93	629.7991526
94	629.2883989
95	628.7440374
96	628.2615345
97	627.9531068
98	627.5802653
99	627.2568414
100	627.0094762
101	626.737147
102	626.7371468
103	626.3675473
104	626.3675471
105	626.3675469
106	625.9714922
107	625.6382051
108	625.3257985
109	625.3257983
110	624.9683597
111	624.6339712
112	624.2964091
113	624.0112048
114	623.7338455
115	623.7338453
116	623.5677157
117	623.4082736
118	623.1047046
119	622.8785861
120	622.5921885
121	622.3894105
122	622.3894104
123	622.1661212
124	622.0259659
125	621.7498123
126	621.5160394
127	621.4545616
128	621.2246375
129	620.9220687
130	620.9101652
131	620.6861146
132	620.6861145
133	620.6861144
134	620.6861143
135	620.6861142
136	620.632591
137	620.580065
138	620.5800649
139	620.345006
140	620.3186107
141	620.0740389
142	619.7777113
143	619.7777112
144	619.7777112
145	619.5263559
146	619.3621469
147	619.2737032
148	619.2737031
149	619.0863193
150	618.9838143
151	618.9838143
152	618.9838142
153	618.8972649
154	618.8972648
155	618.7509624
156	618.6376001
157	618.5674202
158	618.5674202
159	618.4595648
160	618.2923894
161	618.2844518
162	618.2844518
163	618.1140499
164	617.8754197
165	617.8754197
166	617.7958814
167	617.7958814
168	617.7958008
169	617.7958008
170	617.7958008
171	617.5912877
172	617.5839331
173	617.4246625
174	617.2814473
175	617.2814473
176	617.1945308
177	617.1038852
178	616.8930602
179	616.8930602
180	616.8930602
181	616.8930602
182	616.8306389
183	616.7351366
184	616.5400967
185	616.4952388
186	616.4952388
187	616.3579502
188	616.2334886
189	616.2334886
190	616.1590114
191	616.1396274
192	616.1396274
193	616.077547
194	616.0626473
195	616.0626473
196	616.0381106
197	616.0381106
198	615.8889161
199	615.8889161
200	615.7045445
201	615.5582176
202	615.5582176
203	615.5234558
204	615.4387737
205	615.4387736
206	615.3900338
207	615.2586356
208	615.1655745
209	615.0250504
210	614.9057155
211	614.8936068
212	614.8936068
213	614.8659096
214	614.8659096
215	614.8376856
216	614.81223
217	614.81223
218	614.7631757
219	614.7277551
220	614.646946
221	614.5789977
222	614.4707619
223	614.4088952
224	614.4088719
225	614.375053
226	614.2727419
227	614.2569739
228	614.2569739
229	614.2569739
230	614.2569739
231	614.256768
232	614.1988967
233	614.0941943
234	613.8800511
235	613.8799155
236	613.8799155
237	613.8414468
238	613.7569955
239	613.7569955
240	613.7569955
241	613.6795741
242	613.630821
243	613.5370605
244	613.5370605
245	613.4323547
246	613.4033703
247	613.4033703
248	613.4033703
249	613.3436235
250	613.3436235
251	613.3436235
252	613.2771966
253	613.2771966
254	613.2771966
255	613.2199388
256	613.2199388
257	613.0953954
258	613.0953954
259	612.9736702
260	612.9134067
261	612.9134067
262	612.9134067
263	612.910429
264	612.869339
265	612.8693389
266	612.810117
267	612.810117
268	612.7678305
269	612.7678305
270	612.7678305
271	612.6680749
272	612.6664849
273	612.526185
274	612.526185
275	612.4936161
276	612.4796346
277	612.451042
278	612.451042
279	612.451042
280	612.451042
281	612.451042
282	612.4411174
283	612.4280159
284	612.4280159
285	612.3607338
286	612.3607338
287	612.2756215
288	612.2341812
289	612.1909222
290	612.1346749
291	612.1230342
292	612.1007843
293	612.1007843
294	612.0377177
295	612.0377177
296	612.0032052
297	611.9685639
298	611.9685639
299	611.9380927
300	611.9380927
301	611.923261
302	611.7950776
303	611.7783606
304	611.7783136
305	611.6820074
306	611.6820074
307	611.5932367
308	611.4875584
309	611.4875584
310	611.4875584
311	611.4617919
312	611.4617919
313	611.4344092
314	611.4141803
315	611.3538312
316	611.3538312
317	611.3140943
318	611.2949442
319	611.1995017
320	611.1995017
321	611.1995017
322	611.1995017
323	611.1995017
324	611.1180305
325	610.9857111
326	610.923015
327	610.8655057
328	610.8655057
329	610.8591066
330	610.8591066
331	610.8025635
332	610.7714856
333	610.74511
334	610.74511
335	610.74511
336	610.6796949
337	610.6672899
338	610.6604466
339	610.6289381
340	610.5684599
341	610.5684577
342	610.5372849
343	610.5297751
344	610.5297751
345	610.5071548
346	610.4426951
347	610.3898333
348	610.35652
349	610.2961804
350	610.2316929
351	610.1960908
352	610.1181228
353	610.1181228
354	610.1181227
355	610.0532814
356	610.0496583
357	610.0465361
358	610.012382
359	610.0094569
360	609.9619111
361	609.9526
362	609.8810621
363	609.8761695
364	609.8655515
365	609.8600351
366	609.8600351
367	609.7714319
368	609.734539
369	609.7183588
370	609.699176
371	609.688214
372	609.6345811
373	609.5938631
374	609.5938631
375	609.593816
376	609.5572261
377	609.4892648
378	609.4595921
379	609.3841758
380	609.3406282
381	609.3384182
382	609.2882236
383	609.2882108
384	609.2882108
385	609.2882108
386	609.2827249
387	609.264772
388	609.2320416
389	609.1609251
390	609.160925
391	609.1114594
392	609.1114594
393	609.111456
394	609.070148
395	609.070148
396	609.065599
397	609.065599
398	609.0555608
399	609.0194948
400	608.9919935
401	608.9919935
402	608.9266371
403	608.9266371
404	608.8606661
405	608.8486108
406	608.800391
407	608.800391
408	608.8003909
409	608.8003909
410	608.8003909
411	608.8003909
412	608.7221164
413	608.7167695
414	608.6902417
415	608.6888596
416	608.6888596
417	608.6888596
418	608.6887506
419	608.6827248
420	608.6827248
421	608.649263
422	608.6230954
423	608.6230954
424	608.6230954
425	608.5429937
426	608.5253959
427	608.5214226
428	608.5214226
429	608.4440281
430	608.4440281
431	608.3799925
432	608.3195511
433	608.3195511
434	608.3084599
435	608.2933008
436	608.2617155
437	608.2533833
438	608.2524691
439	608.2458039
440	608.2396795
441	608.1689323
442	608.1637932
443	608.130992
444	608.1300812
445	608.0988045
446	608.0988045
447	608.0979724
448	608.0942604
449	608.0921525
450	608.0526173
451	608.0525889
452	608.048235
453	608.048235
454	608.0478495
455	608.0199162
456	608.0199162
457	607.9275132
458	607.9274119
459	607.9274118
460	607.9274118
461	607.8799905
462	607.8434952
463	607.8385016
464	607.8385016
465	607.8189351
466	607.7543534
467	607.7543534
468	607.7543534
469	607.7543534
470	607.7521387
471	607.7366401
472	607.7366401
473	607.7366387
474	607.7042812
475	607.7042022
476	607.7042022
477	607.7017273
478	607.6957389
479	607.6957389
480	607.6957389
481	607.6019208
482	607.6019193
483	607.6018196
484	607.5915659
485	607.5864261
486	607.586426
487	607.503278
488	607.503278
489	607.503278
490	607.4968639
491	607.4917247
492	607.4870662
493	607.4667043
494	607.4623951
495	607.4600461
496	607.4600439
497	607.41753
498	607.4024448
499	607.4024448
500	607.4024448
501	607.3763892
502	607.3747833
503	607.3174364
504	607.3043551
505	607.2426632
506	607.2426631
507	607.1962902
508	607.1962652
509	607.1882937
510	607.1874235
511	607.1836889
512	607.1649086
513	607.1036023
514	607.1036023
515	607.0645578
516	607.035295
517	607.011245
518	607.011245
519	607.011245
520	607.0073756
521	606.9833603
522	606.9833603
523	606.9277788
524	606.9277499
525	606.9277499
526	606.910181
527	606.9080726
528	606.9037335
529	606.903386
530	606.903386
531	606.8983771
532	606.894783
533	606.894783
534	606.8786229
535	606.8696945
536	606.8696945
537	606.8648898
538	606.8504413
539	606.8193406
540	606.8176473
541	606.8176473
542	606.7717739
543	606.7679293
544	606.7162304
545	606.7122344
546	606.7091369
547	606.6510405
548	606.6281244
549	606.6281004
550	606.6271173
551	606.6007753
552	606.5235464
553	606.5235464
554	606.5187961
555	606.5094208
556	606.5094208
557	606.4776152
558	606.4776152
559	606.4750757
560	606.4497882
561	606.4491952
562	606.4491952
563	606.4004362
564	606.4004362
565	606.4004362
566	606.3757038
567	606.3757038
568	606.2843738
569	606.2701224
570	606.2701224
571	606.2701224
572	606.2264937
573	606.2070528
574	606.2070528
575	606.1980294
576	606.1976563
577	606.1955046
578	606.1955044
579	606.1699437
580	606.116443
581	606.1161579
582	606.1161579
583	606.1151527
584	606.0346679
585	606.0346678
586	606.0240258
587	606.024008
588	606.024008
589	606.024008
590	606.0003346
591	605.9523439
592	605.8797906
593	605.8648209
594	605.8637275
595	605.8540573
596	605.8540573
597	605.8401323
598	605.7971234
599	605.7747657
600	605.7747657
601	605.7733411
602	605.6909565
603	605.6885632
604	605.6885322
605	605.6781122
606	605.6404357
607	605.6404357
608	605.6307079
609	605.6149996
610	605.6149253
611	605.6112402
612	605.6112402
613	605.6103657
614	605.5974061
615	605.5954503
616	605.5954503
617	605.5552589
618	605.5552589
619	605.5552589
620	605.5276811
621	605.521652
622	605.4868469
623	605.4860174
624	605.465139
625	605.4650212
626	605.4495713
627	605.4305626
628	605.4186801
629	605.4082556
630	605.4081683
631	605.4044324
632	605.3999903
633	605.3974199
634	605.3839893
635	605.3686122
636	605.3240963
637	605.3182026
638	605.3173643
639	605.3173322
640	605.3173322
641	605.3062205
642	605.2766393
643	605.276142
644	605.2494665
645	605.2348424
646	605.2317499
647	605.2294597
648	605.2294597
649	605.2293718
650	605.1959673
651	605.1959673
652	605.1917812
653	605.1741153
654	605.1740781
655	605.163469
656	605.1101733
657	605.1101137
658	605.1101137
659	605.1101137
660	605.0746714
661	605.0746714
662	605.0746429
663	605.0746429
664	605.0719914
665	605.0637345
666	605.0637345
667	605.0637345
668	605.0637345
669	605.0260306
670	605.0239101
671	605.0233062
672	605.0048529
673	605.0048529
674	605.0048529
675	605.0000839
676	604.9542839
677	604.9542839
678	604.9542839
679	604.953967
680	604.953967
681	604.9393741
682	604.9166611
683	604.9030234
684	604.8838446
685	604.878271
686	604.8540277
687	604.7941098
688	604.7941098
689	604.7941098
690	604.7919316
691	604.7878396
692	604.7878396
693	604.7825539
694	604.7807687
695	604.7743018
696	604.7743018
697	604.768825
698	604.7641934
699	604.7264885
700	604.7029476
701	604.6663781
702	604.6611821
703	604.6536251
704	604.6105165
705	604.6105165
706	604.5818302
707	604.5818302
708	604.5818302
709	604.553509
710	604.5518417
711	604.5206239
712	604.519837
713	604.5140457
714	604.5094284
715	604.4603305
716	604.4603305
717	604.4603305
718	604.4603305
719	604.4408597
720	604.4353406
721	604.4150154
722	604.4080996
723	604.4011577
724	604.4011577
725	604.3914288
726	604.3893758
727	604.3481668
728	604.3440073
729	604.3343466
730	604.3087459
731	604.3087459
732	604.3087459
733	604.3067836
734	604.2769956
735	604.2288136
736	604.2288134
737	604.2274435
738	604.2274435
739	604.2219476
740	604.2058846
741	604.1900759
742	604.1886595
743	604.1155252
744	604.1155252
745	604.0707175
746	604.0707054
747	604.043367
748	604.0415793
749	604.0415793
750	604.0373544
751	604.0156297
752	604.0156297
753	604.0018345
754	604.0010278
755	603.9926913
756	603.9926913
757	603.9617107
758	603.9616714
759	603.9614605
760	603.960845
761	603.950668
762	603.950668
