iter	Passed	Remaining
0	3	10127
1	15	22619
2	48	47621
3	50	37252
4	83	49287
5	85	41969
6	87	36780
7	136	50240
8	213	69753
9	298	87568
10	328	87718
11	445	108830
12	565	127468
13	606	126887
14	765	149470
15	845	154804
16	848	146118
17	885	144005
18	905	139454
19	940	137479
20	942	131197
21	957	127124
22	971	123381
23	987	120172
24	1052	122939
25	1092	122638
26	1147	123999
27	1179	122797
28	1230	123709
29	1232	119732
30	1271	119489
31	1273	115933
32	1301	114836
33	1304	111627
34	1306	108601
35	1351	109162
36	1353	106372
37	1364	104369
38	1366	101822
39	1414	102676
40	1462	103527
41	1500	103648
42	1502	101386
43	1546	101906
44	1566	100932
45	1609	101395
46	1662	102482
47	1674	101057
48	1722	101754
49	1739	100699
50	1755	99593
51	1818	101160
52	1869	101953
53	1917	102638
54	1954	102688
55	1977	101967
56	1981	100374
57	2065	102782
58	2109	103171
59	2158	103762
60	2203	104125
61	2245	104395
62	2277	104137
63	2279	102566
64	2291	101487
65	2293	100001
66	2296	98612
67	2340	98974
68	2345	97721
69	2386	97971
70	2390	96711
71	2392	95443
72	2405	94592
73	2423	93994
74	2436	93218
75	2483	93734
76	2508	93409
77	2511	92264
78	2545	92329
79	2552	91381
80	2562	90576
81	2617	91371
82	2636	90882
83	2639	89856
84	2641	88841
85	2645	87930
86	2647	86947
87	2692	87389
88	2734	87720
89	2736	86779
90	2778	87096
91	2781	86225
92	2783	85330
93	2805	85052
94	2851	85502
95	2883	85534
96	2916	85610
97	2924	84943
98	2955	84946
99	2972	84541
100	2976	83787
101	3001	83631
102	3003	82844
103	3046	83203
104	3048	82436
105	3093	82831
106	3127	82934
107	3179	83485
108	3199	83205
109	3200	82468
110	3242	82766
111	3276	82860
112	3335	83571
113	3355	83302
114	3383	83225
115	3384	82521
116	3386	81830
117	3410	81671
118	3451	81939
119	3478	81852
120	3518	82079
121	3551	82158
122	3554	81510
123	3587	81576
124	3604	81286
125	3644	81500
126	3684	81716
127	3693	81266
128	3722	81236
129	3758	81364
130	3786	81298
131	3828	81555
132	3830	80963
133	3834	80404
134	3836	79835
135	3838	79258
136	3857	79030
137	3868	78661
138	3870	78106
139	3900	78124
140	3909	77713
141	3954	78032
142	3995	78255
143	3997	77728
144	3999	77196
145	4043	77490
146	4068	77403
147	4078	77048
148	4081	76567
149	4168	77639
150	4232	78295
151	4235	77802
152	4239	77328
153	4254	77082
154	4261	76675
155	4313	77089
156	4352	77260
157	4385	77331
158	4388	76862
159	4435	77171
160	4461	77120
161	4470	76778
162	4477	76397
163	4506	76390
164	4536	76411
165	4538	75958
166	4556	75769
167	4558	75325
168	4566	74984
169	4570	74582
170	4572	74152
171	4616	74395
172	4627	74115
173	4660	74195
174	4695	74291
175	4697	73875
176	4729	73938
177	4757	73927
178	4787	73946
179	4789	73539
180	4791	73136
181	4793	72737
182	4817	72690
183	4857	72865
184	4906	73174
185	4927	73059
186	4929	72672
187	4975	72939
188	5012	73066
189	5014	72691
190	5052	72831
191	5065	72610
192	5067	72234
193	5107	72397
194	5133	72374
195	5136	72010
196	5138	71649
197	5148	71398
198	5189	71588
199	5191	71233
200	5217	71205
201	5241	71144
202	5243	70797
203	5248	70498
204	5292	70714
205	5295	70377
206	5306	70168
207	5366	70588
208	5415	70871
209	5460	71085
210	5489	71099
211	5501	70890
212	5502	70554
213	5514	70348
214	5516	70019
215	5533	69889
216	5536	69572
217	5538	69251
218	5592	69592
219	5596	69299
220	5645	69564
221	5684	69693
222	5712	69702
223	5729	69577
224	5741	69376
225	5773	69430
226	5799	69413
227	5816	69288
228	5818	68980
229	5820	68678
230	5824	68404
231	5832	68182
232	5864	68236
233	5893	68253
234	5926	68320
235	5934	68094
236	5937	67814
237	5972	67908
238	6007	67992
239	6009	67711
240	6012	67430
241	6044	67488
242	6081	67601
243	6123	67756
244	6125	67476
245	6169	67658
246	6178	67461
247	6180	67183
248	6182	66909
249	6225	67086
250	6227	66815
251	6229	66544
252	6253	66510
253	6256	66260
254	6258	66000
255	6294	66090
256	6295	65826
257	6339	65994
258	6341	65736
259	6378	65850
260	6422	66025
261	6424	65767
262	6426	65510
263	6452	65499
264	6469	65407
265	6472	65160
266	6530	65477
267	6534	65246
268	6556	65200
269	6558	64951
270	6559	64703
271	6628	65110
272	6638	64952
273	6667	64972
274	6670	64741
275	6693	64699
276	6703	64545
277	6742	64655
278	6744	64422
279	6748	64203
280	6750	63969
281	6751	63735
282	6753	63505
283	6755	63276
284	6757	63046
285	6788	63093
286	6790	62865
287	6816	62861
288	6852	62956
289	6885	63015
290	6921	63103
291	6938	63016
292	6976	63122
293	6979	62911
294	7014	62985
295	7016	62766
296	7037	62718
